Layer Name,OBJECTID,Shape,ObservationURI,WellName,APINo,HeaderURI,OtherID,OtherName,BoreholeName,Label,Operator,LeaseOwner,LeaseNo,SpudDate,EndedDrillingDate,WellType,Status,CommodityOfInterest,StatusDate,Function,Production,Field,County,State,PLSS_Meridians,TWP,RGE,Section_,SectionPart,Parcel,UTM_E,UTM_N,UTMDatumZone,LatDegree,LongDegree,SRS,LocationUncertaintyStatement,DrillerTotalDepth,LengthUnits,WellboreShape,TrueVerticalDepth,ElevationGL,BitDiameterCollar,BitDiameterTD,DiameterUnits,Notes,MaximumRecordedTemperature,MeasuredTemperature,CorrectedTemperature,TemperatureUnits,TimeSinceCirculation,CirculationDuration,MeasurementProcedure,CorrectionType,DepthOfMeasurement,MeasurementDateTime,MeasurementFormation,MeasurementSource,CasingLogger,CasingBottomDepthDriller,CasingPipeDiameter,CasingWeight,CasingWeightUnits,CasingThickness,DrillingFluid,Salinity,MudResistivity,Density,FluidLevel,pH,Viscosity,FluidLoss,InformationSource
BoreholeTemperature (AZBoreholeTemperatures),1918,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0372/,Champlin Petroleum 1 Navajo-335,02-001-20058,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-20058/,434,,,Champlin Petroleum 1 Navajo-335,Champlin Petroleum,Navajo,,,,nil:missing,Dry Hole,nil:missing,,nil:missing,nil:missing,South Anida Creek,APACHE,Arizona,Gila and Salt River Meridian,T41N,29E,4,NE SE,,,,NAD83 zone 12,36.98660546,-109.2302515,WGS 84,Located within 335meters. ,6158,ft,,,5203,,7.875,in,Nothing on topo or imagery (ERP). original measurment: 120 F. Converted to Centigrade.,,120,,F,19,,Maximum temperature as reported on well log.,,6153,1967-10-29T00:00:00,Miss Thunder Springs,"Temperature reported on well Dual Induction Laterolog, log number 0434DILL, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,FGM,,.83 at 120 F,9.1,,,44,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1917,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0373/,D J Simmons 1 Navajo,02-001-20059,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-20059/,435,,,D J Simmons 1 Navajo,"Simmons, D. J.",Navajo,,,,nil:missing,Dry Hole,nil:missing,,nil:missing,nil:missing,Wildcat,APACHE,Arizona,Gila and Salt River Meridian,T36N,27E,30,SE SW,,,,NAD83 zone 12,36.49325567,-109.4782534,WGS 84,nil:missing,3303.6,ft,,,5394,,7.875,in,Nothing on topo; likely location on imagery (ERP). original measurment: 102 F. Converted to Centigrade.,,102,,F,2.5,,Maximum temperature as reported on well log.,,3299,1967-10-24T00:00:00,Devonian Aneth,"Temperature reported on well Induction Electric log, log number 0435IEL, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,FRESH MUD- SODA ASH- ACQUGEL-CAUSTIC,,3.00 at 102 F,9.3,,,31,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1916,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0452/,St. Mary Parish 2-16 Navajo Tseh-da-kate,02-001-20167,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-20167/,590,,,St. Mary Parish 2-16 Navajo Tseh-da-kate,St. Mary Parish Land Company,Navajo Tribal,,,,nil:missing,Dry Hole,nil:missing,,nil:missing,nil:missing,Wildcat,APACHE,Arizona,Gila and Salt River Meridian,T37N,29E,16,NW SE,,,,NAD83 zone 12,36.61088161,-109.2362044,WGS 84,Located within 400meters. ,3761,ft,,,6390,,6.75,in,Nothing on topo or imagery (ERP). original measurment: 109 F. Converted to Centigrade.,,109,,F,2,,Maximum temperature as reported on well log.,,3746,1972-08-20T00:00:00,Pennsylvanian Paradox,"Temperature reported on well Dual Induction Laterolog, log number 0590DILL, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,FGM,,1.5 at 109 F,8.8,,9,65,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1915,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0453/,St. Mary Parish 1-30 Navajo Ghee- teen,02-001-20168,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-20168/,591,,,St. Mary Parish 1-30 Navajo Ghee- teen,St. Mary Parish Land Company,Navajo Tribal,,,,nil:missing,Dry Hole,nil:missing,,nil:missing,nil:missing,Wildcat,APACHE,Arizona,Gila and Salt River Meridian,T37N,30E,30,NE SW,,,,NAD83 zone 12,36.58298288,-109.1685646,WGS 84,nil:missing,3190,ft,,,6015,,6.75,in,Well on topo (ERP). original measurment: 90 F. Converted to Centigrade.,,90,,F,2,,Maximum temperature as reported on well log.,,3188,1972-09-07T00:00:00,Pennsylvanian Paradox,"Temperature reported on well Dual Induction Laterolog, log number 0591DILL, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,FGM,,.82 at 90 F,8.9,,,48,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1907,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0338/,J C M Drilling 1 Navajo Mobil,02-001-20007,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-20007/,382,,,J C M Drilling 1 Navajo Mobil,J. C. M. Drilling,Navajo,,,,nil:missing,Dry Hole,nil:missing,,nil:missing,nil:missing,Wildcat,APACHE,Arizona,Gila and Salt River Meridian,T39N,25E,16,NW NW,,,,NAD83 zone 12,36.79253078,-109.6577402,WGS 84,nil:missing,6017,ft,,,5029,,7.875,in,Well on topo; pt moved to match (ERP). original measurment: 112 F. Converted to Centigrade.,,112,,F,1.5,,Maximum temperature as reported on well log.,,5806,1967-04-03T00:00:00,unknown,"Temperature reported on well Induction Electrical log, log number 0382IEL-2, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,FRESH - GEL,,1.2 at 122 F,9.4,,10.5,45,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1906,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0339/,J C M Drilling 1 Navajo Mobil,02-001-20007,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-20007/,382,,,J C M Drilling 1 Navajo Mobil,J. C. M. Drilling,Navajo,,,,nil:missing,Dry Hole,nil:missing,,nil:missing,nil:missing,Wildcat,APACHE,Arizona,Gila and Salt River Meridian,T39N,25E,16,NW NW,,,,NAD83 zone 12,36.79253078,-109.6577402,WGS 84,nil:missing,6017,ft,,,5029,,7.875,in,Well on topo; pt moved to match (ERP). original measurment: 113 F. Converted to Centigrade.,,113,,F,2,,Maximum temperature as reported on well log.,,6011,1967-04-06T00:00:00,Precambrian metamorphic,"Temperature reported on well Induction Electrical log, log number 0382IEL-3, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,FRESH - GEL,,1.2 at 113 F,9.4,,10.5,45,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1901,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0445/,C J Little 1-16 Navajo,02-001-20157,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-20157/,575,,,C J Little 1-16 Navajo,"Little, Curtis J.",Navajo,,,,nil:missing,Dry Hole,nil:missing,,nil:missing,nil:missing,Wildcat,APACHE,Arizona,Gila and Salt River Meridian,T37N,29E,16,NE NE,,,,NAD83 zone 12,36.61955895,-109.2317858,WGS 84,nil:missing,3928,ft,,,6346,,6.75,in,Well on topo; pt moved to match (ERP). original measurment: 89 F. Converted to Centigrade.,,89,,F,,,Maximum temperature as reported on well log.,,3926,1971-12-23T00:00:00,Pennsylvanian Molas,"Temperature reported on well Sidewall Neutron Porosity log, log number 0575SNP1, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,FGM,,,8.8,,,,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1885,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0313/,Superior Oil 23-21 Navajo-M,02-001-05308,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-05308/,128,,,Superior Oil 23-21 Navajo-M,Superior Oil,Navajo,,,,nil:missing,Dry Hole,nil:missing,,nil:missing,nil:missing,Pinta Dome,APACHE,Arizona,Gila and Salt River Meridian,T41N,30E,21,NE SW,,,,NAD83 zone 12,36.94393089,-109.1316503,WGS 84,nil:missing,5979,ft,,,5143,,9,in,Well on topo; pt moved to match (ERP). original measurment: 118 F. Converted to Centigrade.,,118,,F,,,Maximum temperature as reported on well log.,,5974,1960-11-19T00:00:00,Miss Horseshoe Mesa,"Temperature reported on well Induction Electrical log, log number 0128IEL, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,OIL EMUL,,1.4 at 118 F,0.2,,,72,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1884,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0314/,Texaco 1 Navajo-Z,02-001-05309,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-05309/,113,,,Texaco 1 Navajo-Z,Texaco,Navajo,,,,nil:missing,"Helium well, plugged abandoned",nil:missing,,nil:missing,nil:missing,Wildcat,APACHE,Arizona,Gila and Salt River Meridian,T41N,30E,36,NW SW,,,,NAD83 zone 12,36.91490146,-109.0817359,WGS 84,Located within 335meters. ,6985,ft,,,5274,,8.625,in,Nothing on topo or imagery (ERP). original measurment: 136 F. Converted to Centigrade.,,136,,F,,,Maximum temperature as reported on well log.,,6979,1960-05-03T00:00:00,Precambrian?,"Temperature reported on well Induction Electrical log, log number 0113IEL, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,CHEM - GEL,,.47 at 136 F,9.5,,12.5,65,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1883,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0305/,Pan American Petroleum 1 Tohlacon-Navajo,02-001-05301,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-05301/,60,,,Pan American Petroleum 1 Tohlacon-Navajo,Pan American Pet.,Navajo,,,,nil:missing,Dry Hole,nil:missing,,nil:missing,nil:missing,Wildcat,APACHE,Arizona,Gila and Salt River Meridian,T40N,25E,11,NE SE,,,,NAD83 zone 12,36.88736261,-109.627788,WGS 84,nil:missing,6587,ft,,,5297,,8.75,in,Well on topo; pt moved to match (ERP).,,275,,F,,,Maximum temperature as reported on well log.,,6581,1958-12-05T00:00:00,Precambrian metamorphic,"Temperature reported on well Micro Laterolog, log number 0060MLAT, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,GEL-CHEM,,1.95 at 135 F,,,,,,Arizona Geological Survey - 2012
